 ,IMPORT REPORT,,,23-Jan,,,,,,,,
,,,,,,,,,,,,
,CONKEN 4 TRUCKS,,,,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
1,T160 EGJ,T223 EFU,TUNDUMA-TZ,WAITING TO CROSS,FLATBED,NA,15,08-Jan,23-Jan,,,
2,T166 EGJ,T696 ELK,SONGWE-TZ,ENROUTE KFM,FLATBED,NA,14,09-Jan,23-Jan,,,
3,T565 EAF,T945 DZS,MBEYA-TZ,ENROUTE KFM,FLATBED,NA,12,11-Jan,23-Jan,,,
4,T162 DZY,T532 DZE,MAFINGA-TZ,ENROUTE KFM,FLATBED,NA,14,09-Jan,23-Jan,,,
5,T597 EDD,T987 EDK,CHALINZE-TZ,ENROUTE KFM,FLATBED,NA,12,11-Jan,23-Jan,,,
6,T714 DXY,T399 DYC,KIBAHA-TZ,ENROUTE KFM,FLATBED,NA,14,09-Jan,23-Jan,,,
7,T807 EEU,T597 EEN,KIBAHA-TZ,ENROUTE KFM,FLATBED,NA,14,09-Jan,23-Jan,,,
8,T791 EEU,T594 EEN,DSM,WAITING TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
9,T160 DZY,T538 DZE,DSM,WAITING TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
10,T717 EET,T599 EEN,DSM,WAITING TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
11,T709 EET,T589 EEN,DSM,WAITING TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
12,T849 EKS,T899 EKY,DSM,LOADED WAITING DOCS,FLATBED,NA,NA,NA,23-Jan,,,
13,T726 EET,T586 EEN,DSM TAHMEED YARD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
,,,,,,,,,,,,
,POSEIDON 480MT DSM-LIKASI,,,,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
1,T667 ECQ,T582 ECQ,SHIWANGAMU-ZMB,ENROUTE LIKASI,FLATBED,NA,18,05-Jan,23-Jan,,,
2,T684 ENG,T384 EMZ,NAKONDE-ZMB,ENROUTE LIKASI,FLATBED,NA,17,06-Jan,23-Jan,,,
3,T655 ECQ,T565ECC,NAKONDE-ZMB,ENROUTE LIKASI,FLATBED,NA,21,02-Jan,23-Jan,,,
4,T461 EAG,T886 EAK,NAKONDE-ZMB,ENROUTE LIKASI,FLATBED,NA,17,06-Jan,23-Jan,,,
5,T525 EEQ,T724 EEM,NAKONDE-ZMB,ENROUTE LIKASI,FLATBED,NA,21,02-Jan,23-Jan,,,
6,T102 EFP,T592 EGS,NAKONDE-ZMB,ENROUTE LIKASI,FLATBED,NA,21,02-Jan,23-Jan,,,
7,T214 ELV,T610 EMF,NAKONDE-ZMB,ENROUTE LIKASI,FLATBED,NA,21,02-Jan,23-Jan,,,
8,T133 EFP,T593 EGS,TUNDUMA-TZ,WAITING TO CROSS,FLATBED,NA,17,06-Jan,23-Jan,,,
9,T730 EET,T588 EEN,TUNDUMA-TZ,WAITING TO CROSS,FLATBED,NA,18,05-Jan,23-Jan,,,
10,T204 EHE,T328 ELE,TUNDUMA-TZ,WAITING TO CROSS,FLATBED,NA,15,08-Jan,23-Jan,,,
11,T458 EAG,T895 DZS,TUNDUMA-TZ,WAITING TO CROSS,FLATBED,NA,18,05-Jan,23-Jan,,,
12,T492 EEQ,T662 EEM,TUNDUMA-TZ,WAITING TO CROSS,FLATBED,NA,18,05-Jan,23-Jan,,,
13,T636 EAF,T913 DZS,SONGWE-TZ,ENROUTE LIKASI,FLATBED,NA,18,05-Jan,23-Jan,,,
14,T858 EKS,T909 EKY,SONGWE-TZ,ENROUTE LIKASI,FLATBED,NA,16,07-Jan,23-Jan,,,
15,T602 EAG,T877 DZC,MOROGORO-TZ,ENROUTE LIKASI,FLATBED,NA,16,07-Jan,23-Jan,,,
,,,,,,,,,,,,
,RELOAD 129MT DSM-KOLWEZI,,,TCC,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
1,T687 ENG,T382 EMZ,KONKOLA-ZMB,ENROUTE KOLWEZI,FLATBED,NA,24,30-Dec,23-Jan,,,
2,T603 EDD,T963 EDK,KONKOLA-ZMB,ENROUTE KOLWEZI,FLATBED,NA,24,30-Dec,23-Jan,,,
3,T836 EKS,T884 EKY,KONKOLA-ZMB,ENROUTE KOLWEZI,FLATBED,NA,24,30-Dec,23-Jan,,,
