S/No.,Date,LPO No.,Diesel @,DO/SDO, Truck No,Ltrs,Price per Ltr,Amount,Destinations
661,17-May,1432,INFINITY,1353,T664 ECQ,400,4300,1720000,Dar
662,17-May,1432,INFINITY,1361,T121 DZY,400,4300,1720000,Dar
663,17-May,1432,INFINITY,1363,T724 EET,400,4300,1720000,Dar
664,17-May,1432,INFINITY,1364,T703 EHJ,400,4300,1720000,Dar
665,17-May,1432,INFINITY,1359,T775 DWK,400,4300,1720000,Dar
666,17-May,1432,INFINITY,1358,T130 EFP,400,4300,1720000,Dar
667,17-May,1432,INFINITY,1360,T974 DVK,400,4300,1720000,Dar
668,17-May,1432,INFINITY,1362,T565 EAF,400,4300,1720000,Dar
669,17-May,1432,INFINITY,1534,T123 DYY,400,4300,1720000,Dar
670,17-May,1432,INFINITY,1535,T597 EDD,400,4300,1720000,Dar
671,17-May,1432,INFINITY,1544,T702 EHJ,400,4300,1720000,Dar
672,17-May,1432,INFINITY,1536,T542 EKT,400,4300,1720000,Dar
673,17-May,1432,INFINITY,1537,T147 DZY,400,4300,1720000,Dar
674,17-May,1432,INFINITY,1334,T681 ENG,400,4300,1720000,Dar
675,17-May,1432,INFINITY,1525,T708 DXY,400,4300,1720000,Dar
676,17-May,1432,INFINITY,1330,T909 EQC,400,4300,1720000,Dar
677,17-May,1432,INFINITY,1328,T146 EFP,400,4300,1720000,Dar
678,17-May,1432,INFINITY,1329,T135 EFP,400,4300,1720000,Dar
679,17-May,1432,INFINITY,1303,T366 EQF,400,4300,1720000,Dar
680,17-May,1432,INFINITY,1322,T714 EQD,400,4300,1720000,Dar
681,17-May,1432,INFINITY,1324,T717 EQD,400,4300,1720000,Dar
682,17-May,1432,INFINITY,1325,T632 EQD,400,4300,1720000,Dar
683,17-May,1432,INFINITY,1320,T355 EQF,400,4300,1720000,Dar
684,17-May,1432,INFINITY,1321,T365 EQF,400,4300,1720000,Dar
685,17-May,1432,INFINITY,1326,T571 EQF,400,4300,1720000,Dar
686,17-May,1432,INFINITY,1323,T498 EQG,400,4300,1720000,Dar
687,17-May,1433,LAKE TUNDUMA,1327,T572 EQF,100,4399,439900,Dar
688,17-May,1433,LAKE TUNDUMA,1543,T807 EEU,100,4399,439900,Dar
689,17-May,1433,LAKE TUNDUMA,1524,T517 EEQ,100,4399,439900,Dar
690,17-May,1433,LAKE TUNDUMA,1531,T536 EEQ,100,4399,439900,Dar
691,17-May,1433,LAKE TUNDUMA,1596,T521 DRF,100,4399,439900,Dar
692,17-May,1433,LAKE TUNDUMA,1599,T793 DNH,100,4399,439900,Dar
693,17-May,1433,LAKE TUNDUMA,1549,T589 DRE,100,4399,439900,Dar
694,17-May,1433,LAKE TUNDUMA,1550,T588 DRE,100,4399,439900,Dar
695,17-May,1433,LAKE TUNDUMA,1552,T595 DRE,100,4399,439900,Dar
696,17-May,1433,LAKE TUNDUMA,1343,T206 EHE,100,4399,439900,Dar
697,17-May,1433,LAKE TUNDUMA,1340,T538 EKT,100,4399,439900,Dar
698,17-May,1433,LAKE TUNDUMA,1341,T139 DZY,100,4399,439900,Dar
699,17-May,1433,LAKE TUNDUMA,1345,T457 EAG,100,4399,439900,Dar
700,17-May,1433,LAKE TUNDUMA,1336,T139 EFP,100,4399,439900,Dar
701,17-May,1433,LAKE TUNDUMA,1337,T678 ENG,100,4399,439900,Dar
702,17-May,1433,LAKE TUNDUMA,1080,T699 DXY,100,4399,439900,Dar
703,17-May,1433,LAKE TUNDUMA,1381,T236 ELV,100,4399,439900,Dar
704,17-May,1433,LAKE TUNDUMA,1608,T831 EKS,100,4399,439900,Dar
705,17-May,1433,LAKE TUNDUMA,1609,T471 EDD,100,4399,439900,Dar
706,17-May,1433,LAKE TUNDUMA,1607,T610 EDD,100,4399,439900,Dar
707,17-May,1433,LAKE TUNDUMA,1613,T237 ELV,100,4399,439900,Dar
708,17-May,1433,LAKE TUNDUMA,1615,T468 EKZ,100,4399,439900,Dar
709,17-May,1433,LAKE TUNDUMA,1614,T241 ELV,100,4399,439900,Dar
710,17-May,1433,LAKE TUNDUMA,1611,T165 EGJ,100,4399,439900,Dar
711,17-May,1433,LAKE TUNDUMA,1612,T454 EAG,100,4399,439900,Dar
712,17-May,1433,LAKE TUNDUMA,1335,T639 EAF,100,4399,439900,Dar
713,17-May,1433,LAKE TUNDUMA,1346,T459 EAG,100,4399,439900,Dar
714,17-May,1433,LAKE TUNDUMA,1339,T615 ENG ,100,4399,439900,Dar
715,17-May,1433,LAKE TUNDUMA,1342,T613 EDD,100,4399,439900,Dar
716,17-May,1433,LAKE TUNDUMA,1338,T750 ELY,100,4399,439900,Dar
717,17-May,1433,LAKE TUNDUMA,1636,T788 DWK,100,4399,439900,Dar
718,17-May,1433,LAKE TUNDUMA,1635,T859 EKS,100,4399,439900,Dar
719,17-May,1434,INFINITY,1327,T572 EQF,400,4300,1720000,Dar
720,17-May,1434,INFINITY,1543,T807 EEU,400,4300,1720000,Dar
721,17-May,1434,INFINITY,1524,T517 EEQ,400,4300,1720000,Dar
722,17-May,1434,INFINITY,1531,T536 EEQ,400,4300,1720000,Dar
723,17-May,1434,INFINITY,1596,T521 DRF,400,4300,1720000,Dar
724,17-May,1434,INFINITY,1599,T793 DNH,400,4300,1720000,Dar
725,17-May,1434,INFINITY,1549,T589 DRE,400,4300,1720000,Dar
726,17-May,1434,INFINITY,1550,T588 DRE,400,4300,1720000,Dar
727,17-May,1434,INFINITY,1552,T595 DRE,400,4300,1720000,Dar
728,17-May,1434,INFINITY,1343,T206 EHE,400,4300,1720000,Dar
729,17-May,1434,INFINITY,1340,T538 EKT,400,4300,1720000,Dar
730,17-May,1434,INFINITY,1341,T139 DZY,400,4300,1720000,Dar
731,17-May,1434,INFINITY,1345,T457 EAG,400,4300,1720000,Dar
732,17-May,1434,INFINITY,1336,T139 EFP,400,4300,1720000,Dar
733,17-May,1434,INFINITY,1337,T678 ENG,400,4300,1720000,Dar
734,17-May,1434,INFINITY,1080,T699 DXY,400,4300,1720000,Dar
735,17-May,1434,INFINITY,1381,T236 ELV,400,4300,1720000,Dar
736,17-May,1434,INFINITY,1608,T831 EKS,400,4300,1720000,Dar
737,17-May,1434,INFINITY,1609,T471 EDD,400,4300,1720000,Dar
738,17-May,1434,INFINITY,1607,T610 EDD,400,4300,1720000,Dar
739,17-May,1434,INFINITY,1613,T237 ELV,400,4300,1720000,Dar
740,17-May,1434,INFINITY,1615,T468 EKZ,400,4300,1720000,Dar
741,17-May,1434,INFINITY,1614,T241 ELV,400,4300,1720000,Dar
742,17-May,1434,INFINITY,1611,T165 EGJ,400,4300,1720000,Dar
743,17-May,1434,INFINITY,1612,T454 EAG,400,4300,1720000,Dar
744,17-May,1434,INFINITY,1335,T639 EAF,400,4300,1720000,Dar
745,17-May,1434,INFINITY,1346,T459 EAG,400,4300,1720000,Dar
746,17-May,1434,INFINITY,1339,T615 ENG ,400,4300,1720000,Dar
747,17-May,1434,INFINITY,1342,T613 EDD,400,4300,1720000,Dar
748,17-May,1434,INFINITY,1338,T750 ELY,400,4300,1720000,Dar
749,17-May,1434,INFINITY,1636,T788 DWK,400,4300,1720000,Dar
750,17-May,1434,INFINITY,1635,T859 EKS,400,4300,1720000,Dar
751,17-May,1435,LAKE NDOLA,1550,T588 DRE,30,1.53,45.9,Dar
752,17-May,1435,LAKE NDOLA,1439,T543 DRF,30,1.53,45.9,Dar
753,17-May,1436,LAKE KAPIRI,1605,T586 DRE,350,1.53,535.5,Dar
754,17-May,1437,LAKE NDOLA,1333,T164 DZY,50,1.53,76.5,Dar
755,17-May,1437,LAKE NDOLA,1332,T968 DVK,50,1.53,76.5,Dar
756,17-May,1438,LAKE KAPIRI,1333,T164 DZY,350,1.53,535.5,Dar
757,17-May,1438,LAKE KAPIRI,1332,T968 DVK,350,1.53,535.5,Dar
758,17-May,1439,LAKE TUNDUMA,1292,T569 EQF,100,4399,439900,Dar
759,17-May,1440,INFINITY,1292,T569 EQF,400,4300,1720000,Dar
760,17-May,1441,LAKE KAPIRI,1498,T586 DRE,90,1.53,137.7,Lusaka
761,18-May,1442,INFINITY,1563,T765 DWK,460,4300,1978000,TFM
762,18-May,1442,INFINITY,1738,T858 EKS,450,4300,1935000,KOLWEZI
763,18-May,1442,INFINITY,1732,T141 EFP,450,4300,1935000,KOLWEZI
764,18-May,1442,INFINITY,1509,T528 DRF,360,4300,1548000,KITWE
765,18-May,1442,INFINITY,1580,T524 EEQ,450,4300,1935000,TFM
766,18-May,1442,INFINITY,1589,T554 DRE,450,4300,1935000,KITWE
767,18-May,1442,INFINITY,1511,T634 DNY,470,4300,2021000,KITWE
768,18-May,1442,INFINITY,1489,T210 EHE,450,4300,1935000,KOLWEZI
769,18-May,1442,INFINITY,1588,T527 DRF,450,4300,1935000,KITWE
770,18-May,1442,INFINITY,1728,T902 EEU,450,4300,1935000,KOLWEZI
771,18-May,1442,INFINITY,1590,T983 DVK,450,4300,1935000,KITWE
772,18-May,1442,INFINITY,1510,T580 DPN,280,4300,1204000,KITWE
773,18-May,1443,LAKE KAPIRI,1563,T765 DWK,480,1.53,734.4,TFM
774,18-May,1443,LAKE KAPIRI,1738,T858 EKS,560,1.53,856.8,KOLWEZI
